Tonart G (Grundfrequnez: 391.675 Hz) von 0.00s bis 1.23s
Oberton 1: 391.68 Hz, Durchschnittliche Intensität: 2.90
Oberton 2: 783.35 Hz, Durchschnittliche Intensität: 0.88
Oberton 3: 1175.03 Hz, Durchschnittliche Intensität: 1.58
Oberton 4: 1566.70 Hz, Durchschnittliche Intensität: 1.39
Oberton 5: 1958.38 Hz, Durchschnittliche Intensität: 1.79
Oberton 6: 2350.05 Hz, Durchschnittliche Intensität: 0.72
Oberton 7: 2741.72 Hz, Durchschnittliche Intensität: 0.33
Oberton 8: 3133.40 Hz, Durchschnittliche Intensität: 0.16
Oberton 9: 3525.08 Hz, Durchschnittliche Intensität: 0.19
Oberton 10: 3916.75 Hz, Durchschnittliche Intensität: 0.07

Tonart H (Grundfrequnez: 494.435 Hz) von 1.23s bis 2.44s
Oberton 1: 494.44 Hz, Durchschnittliche Intensität: 3.42
Oberton 2: 988.87 Hz, Durchschnittliche Intensität: 0.60
Oberton 3: 1483.31 Hz, Durchschnittliche Intensität: 2.78
Oberton 4: 1977.74 Hz, Durchschnittliche Intensität: 1.77
Oberton 5: 2472.18 Hz, Durchschnittliche Intensität: 1.02
Oberton 6: 2966.61 Hz, Durchschnittliche Intensität: 0.73
Oberton 7: 3461.05 Hz, Durchschnittliche Intensität: 0.28
Oberton 8: 3955.48 Hz, Durchschnittliche Intensität: 0.15
Oberton 9: 4449.91 Hz, Durchschnittliche Intensität: 0.09
Oberton 10: 4944.35 Hz, Durchschnittliche Intensität: 0.05

Tonart C (Grundfrequnez: 1047.457 Hz) von 2.44s bis 3.02s
Oberton 1: 1047.46 Hz, Durchschnittliche Intensität: 3.03
Oberton 2: 2094.91 Hz, Durchschnittliche Intensität: 1.15
Oberton 3: 3142.37 Hz, Durchschnittliche Intensität: 0.66
Oberton 4: 4189.83 Hz, Durchschnittliche Intensität: 0.19
Oberton 5: 5237.29 Hz, Durchschnittliche Intensität: 0.05
Oberton 6: 6284.74 Hz, Durchschnittliche Intensität: 0.03
Oberton 7: 7332.20 Hz, Durchschnittliche Intensität: 0.01
Oberton 8: 8379.66 Hz, Durchschnittliche Intensität: 0.00
Oberton 9: 9427.11 Hz, Durchschnittliche Intensität: 0.00
Oberton 10: 10474.57 Hz, Durchschnittliche Intensität: 0.00

Tonart D (Grundfrequnez: 1172.926 Hz) von 3.02s bis 3.41s
Oberton 1: 1172.93 Hz, Durchschnittliche Intensität: 1.34
Oberton 2: 2345.85 Hz, Durchschnittliche Intensität: 0.76
Oberton 3: 3518.78 Hz, Durchschnittliche Intensität: 0.29
Oberton 4: 4691.70 Hz, Durchschnittliche Intensität: 0.05
Oberton 5: 5864.63 Hz, Durchschnittliche Intensität: 0.03
Oberton 6: 7037.56 Hz, Durchschnittliche Intensität: 0.01
Oberton 7: 8210.48 Hz, Durchschnittliche Intensität: 0.00
Oberton 8: 9383.41 Hz, Durchschnittliche Intensität: 0.00
Oberton 9: 10556.33 Hz, Durchschnittliche Intensität: 0.00
Oberton 10: 11729.26 Hz, Durchschnittliche Intensität: 0.00

Tonart A (Grundfrequnez: 1762.533 Hz) von 3.60s bis 4.85s
Oberton 1: 1762.53 Hz, Durchschnittliche Intensität: 3.81
Oberton 2: 3525.07 Hz, Durchschnittliche Intensität: 0.96
Oberton 3: 5287.60 Hz, Durchschnittliche Intensität: 0.17
Oberton 4: 7050.13 Hz, Durchschnittliche Intensität: 0.04
Oberton 5: 8812.66 Hz, Durchschnittliche Intensität: 0.01
Oberton 6: 10575.20 Hz, Durchschnittliche Intensität: 0.00
Oberton 7: 12337.73 Hz, Durchschnittliche Intensität: 0.00
Oberton 8: 14100.26 Hz, Durchschnittliche Intensität: 0.00
Oberton 9: 15862.80 Hz, Durchschnittliche Intensität: 0.00
Oberton 10: 17625.33 Hz, Durchschnittliche Intensität: 0.00

Tonart G (Grundfrequnez: 784.297 Hz) von 4.85s bis 9.36s
Oberton 1: 784.30 Hz, Durchschnittliche Intensität: 1.21
Oberton 2: 1568.59 Hz, Durchschnittliche Intensität: 0.85
Oberton 3: 2352.89 Hz, Durchschnittliche Intensität: 0.44
Oberton 4: 3137.19 Hz, Durchschnittliche Intensität: 0.10
Oberton 5: 3921.49 Hz, Durchschnittliche Intensität: 0.04
Oberton 6: 4705.78 Hz, Durchschnittliche Intensität: 0.02
Oberton 7: 5490.08 Hz, Durchschnittliche Intensität: 0.01
Oberton 8: 6274.38 Hz, Durchschnittliche Intensität: 0.00
Oberton 9: 7058.67 Hz, Durchschnittliche Intensität: 0.00
